id,name,status,plan,created_at,expires_at,inventory_valuation_method,menu_template_id,license_key,max_users,business_type_id,document_scan_enabled,daily_document_scan_limit
24,A-One Cafe and Restaurant,active,5,2026-03-28 16:56:36.920642+00:00,2027-05-04 05:48:22.982000+00:00,FIFO,5.0,,5,4.0,True,
33,account,active,5,2026-04-04 00:18:10.728083+00:00,2026-05-05 04:38:33.768000+00:00,FIFO,4.0,,5,,True,
34,Test User,active,standard,2026-04-12 05:10:46.287893+00:00,,FIFO,,,5,,True,
35,test@example.com,active,standard,2026-04-13 04:32:28.776179+00:00,,FIFO,,,5,,True,
12,manish shrestha,active,standard,2025-11-21 21:17:40.794676+00:00,2026-05-28 15:06:00+00:00,FIFO,4.0,,5,,True,
1,UfMZx-Xdq2ihX@ipzqqtbnoralyqthawdjb.dan,active,standard,2025-11-18 16:13:50.808663+00:00,,FIFO,4.0,,5,,True,
2,admin@gmail.com,active,standard,2025-11-18 16:13:50.808663+00:00,,FIFO,4.0,,5,,True,
7,string,active,standard,2025-11-18 11:48:04.276538+00:00,,FIFO,4.0,,5,,True,
8,mayank,active,pro,2025-11-18 11:58:10.733589+00:00,2025-11-20 01:11:00+00:00,FIFO,4.0,,5,,True,
9,priyanshi,active,standard,2025-11-18 12:44:45.308413+00:00,,FIFO,4.0,,5,,True,
10,Naresh Sah,active,premium,2025-11-19 07:43:06.788832+00:00,2025-11-20 00:16:00+00:00,FIFO,4.0,,5,,True,
11,Mayank2,active,standard,2025-11-20 00:04:44.765626+00:00,,FIFO,4.0,,5,,True,
13,Manisha,active,standard,2025-11-22 13:11:56.857450+00:00,2025-11-23 08:26:00+00:00,FIFO,4.0,,5,,True,
14,Manisha2,active,standard,2025-11-23 06:29:05.245789+00:00,,FIFO,4.0,,5,,True,
15,manisha3,active,standard,2025-11-23 07:19:39.082379+00:00,,FIFO,4.0,,5,,True,
16,manisha4,active,standard,2025-11-23 07:33:10.384085+00:00,,FIFO,4.0,,5,,True,
17,priya@gmail.com,active,standard,2025-11-27 10:48:23.974229+00:00,,FIFO,4.0,,5,,True,
18,priya12@gmail.com,active,standard,2025-11-27 11:08:08.825227+00:00,,FIFO,4.0,,5,,True,
19,priya kumari,active,standard,2025-11-27 11:12:50.288175+00:00,,FIFO,4.0,,5,,True,
20,Testcompany,active,standard,2025-11-29 03:11:22.118193+00:00,,FIFO,4.0,,5,,True,
21,Admin User,active,standard,2026-02-23 11:57:33.929374+00:00,,FIFO,4.0,,5,,True,
22,Tester,active,standard,2026-02-23 11:58:50.640947+00:00,,FIFO,4.0,,5,,True,
4,Green Land,active,standard,2025-11-18 11:02:48.511738+00:00,,FIFO,4.0,,5,5.0,True,
23,abc and company,active,enterprise,2026-03-09 06:36:41.154105+00:00,,FIFO,3.0,,5,4.0,True,
25,Test Tenant B,active,standard,2026-03-28 16:56:36.920642+00:00,,FIFO,,,5,,True,
28,Superadmin Bypass Test Tenant,active,standard,2026-03-29 01:22:23.431690+00:00,,FIFO,7.0,,5,,True,
29,Repro Tenant,active,standard,2026-03-29 03:24:47.299161+00:00,,FIFO,8.0,,5,,True,
30,None Template Test Tenant,active,standard,2026-03-29 03:36:49.837352+00:00,,FIFO,,,5,,True,
31,Update Test Tenant,active,standard,2026-03-29 03:51:37.942621+00:00,,FIFO,,,5,,True,
32,Strict None Test Tenant,active,standard,2026-03-29 03:57:53.135998+00:00,,FIFO,,,5,,True,
